호선명,역명,년월(YYYYMM),요일,구분,합계(전체),01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시
1호선,다대포해수욕장,202511,전체,승차,158524,14,3,16,805,1813,4270,10165,12306,10714,11647,12454,11627,11112,11935,14477,13229,12312,7517,3873,3312,2455,1955,496,17
1호선,다대포해수욕장,202511,전체,하차,133301,12,12,13,15,987,3424,5314,8335,6958,7993,8876,10031,10289,10316,10039,11140,9937,8891,6033,4075,3549,3127,2307,1628
1호선,다대포항,202511,전체,승차,106698,9,3,0,385,1758,3172,6873,8012,6934,7300,8183,8059,7832,7726,8209,7883,7803,6249,3257,3174,2142,1394,296,45
1호선,다대포항,202511,전체,하차,120365,15,5,1,4,683,3227,3831,6787,5618,6560,8483,7761,7866,8402,10380,11060,10830,10200,5782,3789,3778,2782,1778,743
1호선,낫개,202511,전체,승차,147407,4,16,0,553,3110,6331,13743,15764,13005,11826,11373,10771,9996,8952,9000,9028,8001,5986,3136,2547,2127,1503,565,70
1호선,낫개,202511,전체,하차,152763,11,15,3,7,467,2138,3359,7509,4829,5881,7638,8568,8900,10048,12607,14405,16084,16398,10359,7282,6694,5039,3244,1278
1호선,신장림,202511,전체,승차,102126,21,2,0,278,2476,3446,8463,10153,8078,8190,8297,8270,6848,5840,6215,6297,8175,5147,2542,1551,942,653,193,49
1호선,신장림,202511,전체,하차,97816,18,6,2,9,385,2088,5398,6672,4500,5616,6117,5393,5502,6132,7338,8605,8283,8460,5382,3970,3138,2550,1620,632
1호선,장림,202511,전체,승차,125098,3,0,0,188,2301,3476,8655,9893,6798,6570,8003,9021,12770,7700,8137,9079,11160,7903,4130,2950,3985,1516,778,82
1호선,장림,202511,전체,하차,116732,8,2,0,5,710,4302,10856,12107,5436,4469,5128,5267,5965,6509,7858,9582,9546,9233,5636,4287,4209,2859,1940,818
1호선,동매,202511,전체,승차,126233,0,0,0,140,2536,4545,9593,11251,9077,8070,8783,8359,7405,6713,7123,11618,13080,9091,3348,2634,1468,943,366,90
1호선,동매,202511,전체,하차,114862,7,1,0,2,387,6219,11719,10668,4439,5063,5419,6372,6577,6570,8462,9125,9097,8504,4865,3554,3559,2363,1318,572
1호선,신평,202511,전체,승차,192224,9,0,5,1269,2912,5723,14447,18299,13828,11459,11488,11671,11809,10508,11258,13476,17465,17547,7495,4744,3779,2034,808,191
1호선,신평,202511,전체,하차,198124,13,12,9,38,686,7865,15572,17013,7767,7894,9334,10410,11417,11073,13578,15263,17225,18491,10229,7552,6610,5489,3048,1536
1호선,하단,202511,전체,승차,600971,11,5,0,899,4531,12843,36375,46759,32629,33048,36713,39110,38267,37296,41106,49565,54995,54602,26917,22087,16752,11625,4356,480
1호선,하단,202511,전체,하차,553165,14,8,0,52,2175,23423,26919,41270,35375,29484,30853,29971,33393,32391,35232,40894,46137,49260,28158,20469,19755,14976,9793,3163
