호선명,역명,년월일,요일,구분,합계(전체),05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
1호선,설화명곡,202511,전체,승차,147502,2094,3711,11778,14776,11151,9808,10028,9738,10020,8504,9081,11269,11899,12338,4527,3159,2327,1095,199
1호선,설화명곡,202511,전체,하차,127655,45,4397,8405,9543,5874,5055,6268,5914,7341,6786,8678,9668,11057,11322,7705,5924,5770,4715,3188
1호선,화원,202511,전체,승차,123816,1697,3171,8610,11260,8636,8604,8625,8454,8408,8827,8658,11623,8619,7075,4383,3593,2192,1118,263
1호선,화원,202511,전체,하차,121749,64,2000,3344,6811,6552,7018,9852,7089,7356,7700,9706,11192,10173,10323,6496,4647,4750,3964,2712
1호선,대곡,202511,전체,승차,144547,1866,4045,12753,16397,12849,9987,9192,9172,10034,8671,8969,9815,9648,9229,4113,3404,2350,1520,533
1호선,대곡,202511,전체,하차,131124,192,2242,4634,7909,5232,5652,6659,7822,7578,8115,10010,12190,11865,12812,8003,6163,5978,4940,3128
1호선,진천,202511,전체,승차,238877,2556,6298,24955,27675,18254,14918,14268,15466,15447,14015,14020,14460,16300,14222,8723,6272,5406,4328,1294
1호선,진천,202511,전체,하차,235064,265,3991,7112,11951,9788,9743,10773,12510,14432,14008,18074,21254,22072,27027,14710,11618,10882,9505,5349
1호선,월배,202511,전체,승차,130776,1546,3582,12939,15470,10557,8718,8462,8998,8262,7678,8108,8572,8330,7068,4208,2969,2730,1922,657
1호선,월배,202511,전체,하차,130913,298,1425,3488,7814,5916,6153,7218,6859,8193,8359,10298,11194,12318,14240,7913,5854,5373,4800,3200
1호선,상인,202511,전체,승차,325291,3868,7795,22904,32024,24372,21056,21702,23422,22491,19769,21821,23906,21103,20269,11283,10334,8429,6651,2092
1호선,상인,202511,전체,하차,310424,252,3929,15069,19626,14066,13304,13625,15538,17726,18376,21656,26020,31170,34361,19173,14789,13587,10977,7180
1호선,월촌,202511,전체,승차,116769,1514,3925,9506,12886,9493,8576,8083,8460,7756,7321,7570,8338,6697,6981,3401,2587,2054,1165,456
1호선,월촌,202511,전체,하차,121794,69,1433,3404,9958,5035,4691,5277,6327,6509,7745,9099,11021,12185,12647,8100,5731,5572,4443,2548
1호선,송현,202511,전체,승차,100651,1549,2860,6914,9335,7453,7560,7934,6772,6644,6786,6810,6136,7149,6274,3272,2534,2208,1508,953
1호선,송현,202511,전체,하차,104379,221,1382,3873,8853,6272,4963,5054,6269,6459,6215,6916,8280,9556,9801,6324,4682,3973,3483,1803
1호선,서부정류장,202511,전체,승차,245335,2487,3967,10203,17082,14172,15971,18611,19447,19702,19769,21664,21248,20579,17008,8516,6390,4780,2794,945
1호선,서부정류장,202511,전체,하차,231922,498,4755,8344,16540,13572,14212,16802,16635,18601,18766,20661,19341,17911,17061,9906,6678,5421,4033,2185
1호선,대명,202511,전체,승차,117976,1180,2390,6254,9375,7911,7249,8213,7897,9853,8932,7198,7404,8869,7866,3734,3502,4656,3738,1755
1호선,대명,202511,전체,하차,122154,562,1298,2911,10360,8889,6907,8216,5900,6846,6529,8198,8519,10026,11671,8907,6385,4748,3477,1805
1호선,안지랑,202511,전체,승차,115740,1484,2926,7021,10045,8576,7990,7807,7712,8558,7608,8027,7396,8831,7731,4263,3404,2946,2232,1183
1호선,안지랑,202511,전체,하차,111750,440,1778,3504,9163,6181,5285,5319,6240,6673,6966,7769,9098,10538,11116,6324,5226,4668,3265,2197
1호선,현충로,202511,전체,승차,89069,1321,2608,5145,7989,6887,5641,5707,6380,6425,5901,6356,6394,6556,6250,2894,2171,2142,1551,751
1호선,현충로,202511,전체,하차,88608,290,1396,2649,6932,4754,4070,4197,5330,4855,6262,6183,7416,7759,8223,5409,4361,3766,3064,1692
1호선,영대병원,202511,전체,승차,165956,1456,2614,5696,8483,8002,9181,10957,11858,11808,12666,14018,17193,18447,13225,5545,4790,5599,2896,1522
1호선,영대병원,202511,전체,하차,172325,837,4264,7256,25376,15142,12345,8903,10301,12328,9860,8964,9393,10725,12176,6921,5482,5312,4412,2328
1호선,교대,202511,전체,승차,120510,1851,3163,7628,10878,8241,6795,7543,8388,8019,7102,8290,10157,9211,11312,3883,2748,2641,1920,740
1호선,교대,202511,전체,하차,115966,321,1161,5061,15937,8037,5663,5787,5463,6432,5897,7531,7706,9260,10706,5969,4753,4030,3644,2608
1호선,명덕1,202511,전체,승차,92440,900,1542,3575,5627,4462,4148,4928,6761,6483,5626,6646,9228,8129,7979,3996,3497,4095,3443,1375
1호선,명덕1,202511,전체,하차,99153,411,1217,5581,9992,8152,5989,5518,5991,7041,5852,6222,6580,8280,8694,4179,3192,2722,2152,1388
1호선,반월당1,202511,전체,승차,296199,1087,2219,4544,7283,7201,9718,15151,18525,21937,25979,30883,31640,29820,28815,18920,18096,12409,8410,3562
1호선,반월당1,202511,전체,하차,384669,1366,4920,9525,29691,31738,29798,34763,36911,33975,34037,29703,28203,26963,24395,11452,6637,4762,3410,2420
1호선,중앙로,202511,전체,승차,428809,1410,2113,4541,7058,6390,7707,11426,15233,19556,25130,36624,48965,53827,50679,35504,32526,32208,25733,12179
1호선,중앙로,202511,전체,하차,452957,1657,4832,8003,32548,29826,24639,31554,48664,48572,40057,33887,32193,34295,36317,20395,11200,7212,4404,2702
1호선,대구역,202511,전체,승차,251682,1515,3338,10256,16718,13424,14179,15672,17972,13690,18802,19147,21361,22375,22827,12249,13126,7313,4910,2808
1호선,대구역,202511,전체,하차,241286,1640,4883,8582,19076,16371,17218,17263,16387,18894,17420,18495,18244,17966,18547,9715,6949,5959,4781,2896
1호선,칠성시장,202511,전체,승차,121172,1491,3779,6925,9786,6824,7404,8847,10237,9455,9531,9524,9129,9920,8198,3422,2486,2219,1347,648
1호선,칠성시장,202511,전체,하차,118661,2023,3910,5841,11108,8420,7646,9274,8209,9470,8714,8826,7939,7467,7922,3653,2893,2205,1863,1278
1호선,신천,202511,전체,승차,148314,2154,5136,10958,16038,11964,9548,10525,10935,8864,8420,9348,10164,10170,10012,4524,3383,3039,2272,860
1호선,신천,202511,전체,하차,145231,583,1781,4904,15372,7576,6412,6542,8343,8456,9526,9990,12848,13109,14904,7731,6000,4735,4227,2192
1호선,동대구역,202511,전체,승차,560670,2676,4551,13437,26568,23982,26297,31874,32972,29917,37711,40370,42450,48881,52036,39456,41317,31929,24526,9720
1호선,동대구역,202511,전체,하차,573070,1884,16382,22001,41835,41772,37012,32698,35540,37702,39536,41186,44666,48318,50575,30464,21417,16594,9056,4432
1호선,동구청,202511,전체,승차,99638,2083,3114,7415,11859,8102,5984,6474,6876,6904,6056,5129,6977,6298,7100,2969,2133,1744,1252,1169
1호선,동구청,202511,전체,하차,93989,308,1726,3231,8135,4723,4358,4997,5547,5384,5117,6338,7382,8821,10127,5044,4273,3701,2801,1976
1호선,아양교,202511,전체,승차,145562,2349,3639,8863,14353,11624,9105,8876,9504,9832,9054,9292,10762,12026,11531,5143,3667,3231,1934,777
1호선,아양교,202511,전체,하차,134393,687,2888,6210,12093,7581,6275,7494,7747,8384,7487,9743,10466,12373,12120,6597,5598,4736,3677,2237
1호선,동촌,202511,전체,승차,70753,1084,1758,3523,5966,4103,3872,4127,5273,4683,5359,6128,6621,5940,4954,2362,2008,1615,970,407
1호선,동촌,202511,전체,하차,68676,283,639,2045,5008,3514,3960,4675,5301,4803,4957,4996,5476,5837,5915,3386,2818,2141,1788,1134
1호선,해안,202511,전체,승차,77966,1538,2221,5523,7552,5812,4777,5422,5354,5759,5822,5373,5178,5608,4251,2464,1640,1249,1034,1389
1호선,해안,202511,전체,하차,74721,276,1154,2424,5041,3225,3803,4284,5192,4478,5384,5815,6743,6994,6472,3842,3250,2933,2225,1186
1호선,방촌,202511,전체,승차,98934,1852,3007,7108,10306,8068,6432,7223,7184,6978,6288,6034,5806,7937,6109,3103,1942,1691,1285,581
1호선,방촌,202511,전체,하차,101312,428,1256,3203,6007,4920,4594,5600,6633,6388,6640,7763,8901,8934,9139,5784,5507,4396,2894,2325
1호선,용계,202511,전체,승차,64602,1924,1754,4360,6231,4668,3727,3542,4387,4893,4107,3887,5998,5025,4571,2108,1495,1065,573,287
1호선,용계,202511,전체,하차,54181,195,1151,2191,5444,3338,2040,3647,3524,2939,2487,3827,3858,4672,4898,2972,2262,2059,1703,974
1호선,율하,202511,전체,승차,129251,2109,3312,9586,14110,9442,7047,7690,7588,7670,7481,8692,9532,9266,10463,4861,3983,3588,1963,868
1호선,율하,202511,전체,하차,128643,238,1840,4369,9034,5358,5500,5854,6492,7932,7973,10184,11569,12712,13346,7874,6223,5144,4403,2598
1호선,신기,202511,전체,승차,120018,2233,3472,9031,13536,9713,8128,9052,9979,8648,8827,8438,8105,6397,5342,2822,2260,1802,1618,615
1호선,신기,202511,전체,하차,113068,155,952,2874,8337,6155,5805,6343,7899,6309,7663,7986,9994,9862,10282,6539,4994,4737,3911,2271
1호선,반야월,202511,전체,승차,87360,961,2008,5706,8377,5615,4860,5244,6862,5749,5366,6112,6148,6910,7527,3108,2298,2418,1505,586
1호선,반야월,202511,전체,하차,87884,129,1851,4649,8351,5748,3650,3640,4600,4551,5078,5656,7045,7668,8889,4809,3721,3726,2634,1489
1호선,각산,202511,전체,승차,128995,1678,3374,10639,13428,9840,7721,8213,9078,7868,7107,7731,8542,8697,9007,4555,3669,3814,3005,1029
1호선,각산,202511,전체,하차,125231,90,1253,4816,9137,5566,4412,5927,6380,7061,6851,10595,11241,13039,13560,7516,5350,5489,4179,2769
1호선,안심,202511,전체,승차,119989,1524,3410,8623,11863,8255,7029,6652,7171,7369,6936,8290,9223,10121,12336,3832,2801,2003,1464,1087
1호선,안심,202511,전체,하차,109259,44,1927,4505,14128,7141,5134,5708,6553,5692,5283,6136,7435,8298,8625,5614,4960,4670,4554,2852
2호선,대구한의대병원,202511,전체,승차,25375,478,862,2195,2609,1913,1540,1549,1844,1656,1458,1500,1711,1861,1628,751,509,649,474,188
2호선,대구한의대병원,202511,전체,하차,26698,47,480,655,2067,1480,1111,1031,1253,1184,1406,1493,1965,2368,2944,2173,1434,1467,1253,887
2호선,부호,202511,전체,승차,52108,413,712,1431,2016,2283,2103,2635,3222,4448,4043,4948,6395,8023,4371,1629,1406,1079,697,254
2호선,부호,202511,전체,하차,59931,66,1326,1280,7107,8125,4532,4449,3332,2983,2645,2688,2908,3162,2852,2368,2116,2684,2953,2355
