역번호,역명,년월(YYYYMM),요일,구분,합계(전체),03-04시,04-05시,05-06시,06-07시,07-08시,08-09시,09-10시,10-11시,11-12시,12-13시,13-14시,14-15시,15-16시,16-17시,17-18시,18-19시,19-20시,20-21시,21-22시,22-23시,23-00시,00-01시,01-02시,02-03시
1101,판암,202511,전체,승차,121092,0,28,2652,4292,11696,16758,9420,7017,6944,7788,7360,6515,6892,7898,8436,8170,3248,2594,1618,1180,564,22,0,0
1101,판암,202511,전체,하차,109348,0,14,310,1483,3833,7032,3950,4329,4775,5031,5722,6202,7826,9552,10097,13245,6475,5299,6264,5075,2068,766,0,0
1102,신흥,202511,전체,승차,62947,0,3,1645,2476,9162,12185,5323,3325,2992,3354,3355,2748,2481,2903,3616,3384,1532,1008,756,484,215,0,0,0
1102,신흥,202511,전체,하차,58875,0,0,196,737,1352,2340,1413,1508,1870,2475,2465,2625,3839,5131,6188,9266,4832,3594,3754,3179,1866,245,0,0
1103,대동,202511,전체,승차,126730,0,17,2031,3792,9474,14647,8134,6212,6565,7391,6989,6613,8110,11551,11475,10785,4115,3284,2748,1629,1112,56,0,0
1103,대동,202511,전체,하차,110904,0,16,593,1107,5335,10917,5540,4293,4045,5174,5392,5288,6706,7568,8861,12423,6295,5472,6038,5528,3820,493,0,0
1104,대전,202511,전체,승차,360586,0,13,467,3772,12913,18338,17776,19464,20556,22465,20711,25171,28615,30923,30899,29879,22172,17732,17377,13763,7454,126,0,0
1104,대전,202511,전체,하차,342439,0,10,4273,12075,22227,28165,22750,21287,24346,20917,23467,22842,23939,25737,24436,24468,14122,11973,8663,4473,2050,219,0,0
1105,중앙로,202511,전체,승차,189653,0,0,744,1369,3512,7082,4287,4720,6491,8823,11251,12891,15289,18588,21489,22903,13834,13333,11855,7090,3987,115,0,0
1105,중앙로,202511,전체,하차,207012,0,0,744,1717,3855,15342,11365,11275,14942,16871,16727,17027,16400,16588,18401,20417,10758,5938,4380,2606,1410,249,0,0
1106,중구청,202511,전체,승차,68085,0,48,717,1397,3736,6762,3155,2824,3279,3636,3378,3862,4733,6601,7007,8113,2691,2241,1909,1421,569,6,0,0
1106,중구청,202511,전체,하차,70260,0,48,375,1418,4507,11420,5439,3287,3204,3544,4170,3645,3674,3872,4777,6568,2769,2040,2343,1777,1269,114,0,0
1107,서대전네거리,202511,전체,승차,169779,0,44,2919,3871,11290,21089,9372,9008,8991,10101,9933,9834,10632,11936,13928,14723,7229,5210,4553,3073,1978,65,0,0
1107,서대전네거리,202511,전체,하차,176341,0,22,984,2142,5751,15362,9492,7463,8103,8932,9937,9605,10829,13057,15963,22566,10253,8031,8111,6144,3158,436,0,0
1108,오룡,202511,전체,승차,123105,0,4,2211,2980,9559,18476,7619,5691,6315,7219,6342,5820,5783,8523,9587,15211,4659,2772,2123,1393,804,14,0,0
1108,오룡,202511,전체,하차,109103,0,0,497,1548,4026,14547,5994,4101,4150,4619,4847,5081,6427,7604,9358,13447,5793,5248,5043,4057,2667,49,0,0
1109,용문,202511,전체,승차,208935,0,27,3231,5531,13930,26798,12228,10376,11469,12460,13747,13186,12623,14083,15680,14033,7917,7179,7273,3897,3267,0,0,0
1109,용문,202511,전체,하차,210410,0,20,666,2062,4952,14849,11268,9813,11741,10459,11583,11867,13885,15739,19059,27867,14553,9543,9138,6874,4471,1,0,0
1110,탄방,202511,전체,승차,133239,0,19,1433,2981,6970,12140,6655,5610,7142,6689,7098,7360,8567,8327,12947,17941,5906,4591,5520,4236,1107,0,0,0
1110,탄방,202511,전체,하차,144686,0,18,974,2690,6552,24602,10391,6662,6428,6835,8057,7378,7510,8926,10781,15355,6858,4683,4373,3157,2451,5,0,0
1111,시청,202511,전체,승차,217603,0,13,1069,2597,5945,10253,7189,7643,9545,9970,10929,11249,13201,16842,22577,32755,13220,13328,12814,11465,4979,20,0,0
1111,시청,202511,전체,하차,226948,0,7,1487,3535,11330,38199,17924,11294,10129,10886,12554,12582,13358,16325,17891,20309,9670,6542,5772,4340,2518,296,0,0
1112,정부청사,202511,전체,승차,206288,0,37,972,2074,5095,9084,6513,6768,8078,8653,9330,10491,13966,16860,24284,39308,11817,14700,10975,5163,2114,6,0,0
1112,정부청사,202511,전체,하차,227762,0,33,2157,4580,13387,51947,17207,10135,9695,10874,10578,10862,10988,12990,17721,21420,7770,4795,4996,3542,1627,458,0,0
1113,갈마,202511,전체,승차,88232,0,9,1811,3149,6991,12408,6540,4948,4628,4887,5181,4384,4649,5336,5598,5495,3094,3891,2836,1354,1016,27,0,0
1113,갈마,202511,전체,하차,85928,0,7,413,756,1830,3679,2665,2944,3770,4468,4614,5218,6078,7419,8830,10967,6109,4617,4455,3934,2746,409,0,0
1114,월평,202511,전체,승차,105585,0,0,1689,3102,6216,12197,6523,5283,5168,5887,6235,6126,6531,7177,7918,9359,4619,4278,3714,2389,1131,43,0,0
1114,월평,202511,전체,하차,107393,0,0,448,804,2584,7481,5484,4672,5000,5578,5736,6327,6777,7609,9593,13122,6800,5266,5590,4804,3311,407,0,0
1115,갑천,202511,전체,승차,29665,0,0,460,931,2411,4843,2084,1492,1244,1527,1739,1635,1748,1649,2385,2321,1099,887,712,294,199,5,0,0
1115,갑천,202511,전체,하차,29567,0,0,187,481,961,2423,1244,1351,1546,1631,1597,1585,1821,2035,2327,3867,1844,1447,1360,1119,670,71,0,0
