사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202511,1호선,동대문,672,17,10641,1958,9378,6549,15750,11068,23360,19089,23118,23495,20784,25719,21000,28985,23985,28394,26978,27820,29522,27185,31392,25987,32841,24824,30752,25677,26155,25202,19301,23153,16755,16721,15435,15918,11677,15128,5786,10033,992,3020,5,325,0,0,0,0,20251203
202511,1호선,동대문,672,17,10641,1958,9378,6549,15750,11068,23360,19089,23118,23495,20784,25719,21000,28985,23985,28394,26978,27820,29522,27185,31392,25987,32841,24824,30752,25677,26155,25202,19301,23153,16755,16721,15435,15918,11677,15128,5786,10033,992,3020,5,325,0,0,0,0,20251203
202511,1호선,동묘앞,177,2,3179,981,3841,5616,8804,10115,14941,22749,12903,20136,14217,25974,19849,35153,27636,37920,34063,41859,39016,35413,42767,29427,42801,21780,34441,15148,19701,12906,9992,9486,5837,7046,4736,7005,3179,7107,1260,4746,121,2380,0,248,0,0,0,0,20251203
202511,1호선,동묘앞,177,2,3179,981,3841,5616,8804,10115,14941,22749,12903,20136,14217,25974,19849,35153,27636,37920,34063,41859,39016,35413,42767,29427,42801,21780,34441,15148,19701,12906,9992,9486,5837,7046,4736,7005,3179,7107,1260,4746,121,2380,0,248,0,0,0,0,20251203
202511,1호선,서울역,721,46,11187,10716,31425,63275,99842,126583,170325,249092,133038,183768,112559,111473,122795,105401,136002,116302,127971,116200,112437,108325,138750,125794,161412,137195,239307,165562,260064,194288,150249,130299,110729,94357,111995,89598,73168,64295,36726,31825,3970,7466,14,157,1,0,0,0,20251203
202511,1호선,서울역,721,46,11187,10716,31425,63275,99842,126583,170325,249092,133038,183768,112559,111473,122795,105401,136002,116302,127971,116200,112437,108325,138750,125794,161412,137195,239307,165562,260064,194288,150249,130299,110729,94357,111995,89598,73168,64295,36726,31825,3970,7466,14,157,1,0,0,0,20251203
202511,1호선,시청,128,3,1969,5708,3982,30013,7600,78232,11176,208161,15155,104289,19065,63453,23950,57712,27609,50686,37468,50026,48163,41878,64890,37012,79390,33714,114167,33743,168091,28989,68903,14485,62577,9638,53620,8888,33429,6020,10753,3715,658,909,1,8,0,0,0,0,20251203
202511,1호선,시청,128,3,1969,5708,3982,30013,7600,78232,11176,208161,15155,104289,19065,63453,23950,57712,27609,50686,37468,50026,48163,41878,64890,37012,79390,33714,114167,33743,168091,28989,68903,14485,62577,9638,53620,8888,33429,6020,10753,3715,658,909,1,8,0,0,0,0,20251203
202511,1호선,신설동,423,7,8356,2479,10049,8775,22452,23936,33894,52612,24057,33175,21989,22178,22758,20220,24176,19727,25694,21731,24967,19790,27002,22369,32278,24140,43581,27554,51781,32707,20057,23661,14033,16967,12127,16572,8666,14732,3551,9117,439,2676,2,2,0,0,0,0,20251203
202511,1호선,신설동,423,7,8356,2479,10049,8775,22452,23936,33894,52612,24057,33175,21989,22178,22758,20220,24176,19727,25694,21731,24967,19790,27002,22369,32278,24140,43581,27554,51781,32707,20057,23661,14033,16967,12127,16572,8666,14732,3551,9117,439,2676,2,2,0,0,0,0,20251203
202511,1호선,제기동,372,14,5126,2454,9059,9325,21182,19953,32137,36918,24063,32837,25537,37296,33028,46129,39584,46307,41646,50161,46835,45830,48268,39615,46939,35440,43713,27734,35150,26483,19449,17704,13013,11986,8664,11873,5487,10187,2138,5912,142,1608,0,0,0,0,0,0,20251203
202511,1호선,제기동,372,14,5126,2454,9059,9325,21182,19953,32137,36918,24063,32837,25537,37296,33028,46129,39584,46307,41646,50161,46835,45830,48268,39615,46939,35440,43713,27734,35150,26483,19449,17704,13013,11986,8664,11873,5487,10187,2138,5912,142,1608,0,0,0,0,0,0,20251203
202511,1호선,종각,114,1,3842,6080,4347,36666,7038,114992,11249,266497,15163,150043,19893,66775,29959,65794,36385,59695,45917,58073,59405,46861,76098,42780,96613,46272,167181,53932,222056,54522,101590,26043,90253,14056,89926,10798,63258,7360,27048,4542,2022,1264,1,0,0,0,0,0,20251203
202511,1호선,종각,114,1,3842,6080,4347,36666,7038,114992,11249,266497,15163,150043,19893,66775,29959,65794,36385,59695,45917,58073,59405,46861,76098,42780,96613,46272,167181,53932,222056,54522,101590,26043,90253,14056,89926,10798,63258,7360,27048,4542,2022,1264,1,0,0,0,0,0,20251203
202511,1호선,종로3가,193,23,4124,4068,4504,13288,7553,26671,11582,62381,16822,64221,23164,56993,32696,67937,45127,66942,49278,61850,62304,55744,71683,49528,81406,47608,93921,45380,92277,42677,56222,22027,48625,13314,49033,10746,38636,8527,17301,5502,1589,2024,1,20,0,0,0,0,20251203
202511,1호선,종로3가,193,23,4124,4068,4504,13288,7553,26671,11582,62381,16822,64221,23164,56993,32696,67937,45127,66942,49278,61850,62304,55744,71683,49528,81406,47608,93921,45380,92277,42677,56222,22027,48625,13314,49033,10746,38636,8527,17301,5502,1589,2024,1,20,0,0,0,0,20251203
202511,1호선,종로5가,39,0,1929,4418,3221,16916,6319,40584,11399,88413,16480,66575,26145,59022,36908,62353,43987,57763,51858,55417,62155,52415,66611,44335,75097,41966,92417,39029,90880,33581,47948,19878,35861,10977,29244,8390,20475,6553,5652,4244,360,1004,1,3,0,0,0,0,20251203
202511,1호선,종로5가,39,0,1929,4418,3221,16916,6319,40584,11399,88413,16480,66575,26145,59022,36908,62353,43987,57763,51858,55417,62155,52415,66611,44335,75097,41966,92417,39029,90880,33581,47948,19878,35861,10977,29244,8390,20475,6553,5652,4244,360,1004,1,3,0,0,0,0,20251203
202511,1호선,청량리(서울시립대입구),1166,55,11183,3066,18115,11426,48856,17581,60269,39663,39508,41140,35989,43204,41887,52043,48232,53557,51767,56307,55728,54017,60308,54353,62483,53988,57526,55424,46038,62418,26836,39195,21700,25296,17485,24220,11214,20913,4484,12277,419,4265,0,0,0,0,0,0,20251203
202511,1호선,청량리(서울시립대입구),1166,55,11183,3066,18115,11426,48856,17581,60269,39663,39508,41140,35989,43204,41887,52043,48232,53557,51767,56307,55728,54017,60308,54353,62483,53988,57526,55424,46038,62418,26836,39195,21700,25296,17485,24220,11214,20913,4484,12277,419,4265,0,0,0,0,0,0,20251203
202511,2호선,강남,145,9,8110,12005,18045,54303,40323,147116,62970,316852,56479,329700,58174,158052,75076,110439,90875,106107,107773,119787,120340,110665,145971,103894,175434,116802,260050,150910,318675,184086,218613,107908,169068,63010,183920,50673,153431,40750,71257,22678,11177,5913,5,27,1,1,0,0,20251203
202511,2호선,강남,145,9,8110,12005,18045,54303,40323,147116,62970,316852,56479,329700,58174,158052,75076,110439,90875,106107,107773,119787,120340,110665,145971,103894,175434,116802,260050,150910,318675,184086,218613,107908,169068,63010,183920,50673,153431,40750,71257,22678,11177,5913,5,27,1,1,0,0,20251203
202511,2호선,강변(동서울터미널),54,4,8449,1904,21231,21779,62627,23484,99353,40355,76939,34853,61873,33868,53951,33963,50219,37203,47552,43661,45164,45560,48042,56277,49090,59444,55058,71978,57256,93375,40585,63638,32292,45818,25902,36593,16128,30725,6096,15871,853,4130,3,89,0,0,0,0,20251203
202511,2호선,강변(동서울터미널),54,4,8449,1904,21231,21779,62627,23484,99353,40355,76939,34853,61873,33868,53951,33963,50219,37203,47552,43661,45164,45560,48042,56277,49090,59444,55058,71978,57256,93375,40585,63638,32292,45818,25902,36593,16128,30725,6096,15871,853,4130,3,89,0,0,0,0,20251203
202511,2호선,건대입구,311,8,14865,1569,22259,15546,54973,24894,93707,62070,68062,53016,46791,51358,45478,53547,52640,59841,56731,64440,61132,64762,66464,70939,77121,85414,88571,113348,94649,156170,73113,108071,74480,70283,77918,66116,74804,56842,42777,34193,6807,11616,11,1036,0,0,0,0,20251203
202511,2호선,건대입구,311,8,14865,1569,22259,15546,54973,24894,93707,62070,68062,53016,46791,51358,45478,53547,52640,59841,56731,64440,61132,64762,66464,70939,77121,85414,88571,113348,94649,156170,73113,108071,74480,70283,77918,66116,74804,56842,42777,34193,6807,11616,11,1036,0,0,0,0,20251203
202511,2호선,교대(법원.검찰청),24,4,2575,6171,10693,28588,25272,54263,36236,155165,31297,130965,28393,70981,33402,61125,35747,55143,44733,60558,52130,52794,56245,49839,61031,53293,99428,68930,132112,72198,62445,41306,53476,26412,50407,24060,36362,21323,14321,11451,2805,3199,1,4,0,0,0,0,20251203
202511,2호선,교대(법원.검찰청),24,4,2575,6171,10693,28588,25272,54263,36236,155165,31297,130965,28393,70981,33402,61125,35747,55143,44733,60558,52130,52794,56245,49839,61031,53293,99428,68930,132112,72198,62445,41306,53476,26412,50407,24060,36362,21323,14321,11451,2805,3199,1,4,0,0,0,0,20251203
202511,2호선,구로디지털단지,448,23,39143,4402,52517,20609,137270,78639,186812,216771,118447,138342,73930,60528,66799,47853,74742,53810,73346,67083,65713,63792,73285,70230,88322,87282,137601,116914,197998,163712,97776,128306,61157,88498,49823,86163,37809,80814,17652,48136,3336,13685,5,378,0,0,0,0,20251203
202511,2호선,구로디지털단지,448,23,39143,4402,52517,20609,137270,78639,186812,216771,118447,138342,73930,60528,66799,47853,74742,53810,73346,67083,65713,63792,73285,70230,88322,87282,137601,116914,197998,163712,97776,128306,61157,88498,49823,86163,37809,80814,17652,48136,3336,13685,5,378,0,0,0,0,20251203
202511,2호선,구의(광진구청),84,4,13922,1361,28426,13666,75892,18961,125408,47272,80142,28834,47752,26063,39336,28329,41600,30282,40541,35054,38771,37108,39456,44965,45683,53909,46364,73724,53851,110457,30490,78540,24344,53750,23872,49004,19566,45086,9040,24956,1481,7524,2,163,0,0,0,0,20251203
202511,2호선,구의(광진구청),84,4,13922,1361,28426,13666,75892,18961,125408,47272,80142,28834,47752,26063,39336,28329,41600,30282,40541,35054,38771,37108,39456,44965,45683,53909,46364,73724,53851,110457,30490,78540,24344,53750,23872,49004,19566,45086,9040,24956,1481,7524,2,163,0,0,0,0,20251203
202511,2호선,낙성대(강감찬),77,4,12137,2438,26885,9984,82805,19329,126800,40596,84108,36199,48110,30312,41308,27092,44445,29983,44805,32743,39724,34081,40882,40178,43176,49530,48941,67119,52069,101530,30154,85531,24560,56871,21945,56078,16100,53775,8146,33205,1434,8631,3,220,0,0,0,0,20251203
202511,2호선,낙성대(강감찬),77,4,12137,2438,26885,9984,82805,19329,126800,40596,84108,36199,48110,30312,41308,27092,44445,29983,44805,32743,39724,34081,40882,40178,43176,49530,48941,67119,52069,101530,30154,85531,24560,56871,21945,56078,16100,53775,8146,33205,1434,8631,3,220,0,0,0,0,20251203
202511,2호선,당산,37,10,8346,3734,18767,16336,46651,27845,59159,76052,37760,33207,28055,18026,27066,17676,27131,20778,26164,23543,23684,23166,25345,28228,31542,37036,43352,53114,56370,75165,26448,50570,20446,35633,19726,34074,16643,30840,8356,18937,1528,4821,5,154,0,0,0,0,20251203
202511,2호선,당산,37,10,8346,3734,18767,16336,46651,27845,59159,76052,37760,33207,28055,18026,27066,17676,27131,20778,26164,23543,23684,23166,25345,28228,31542,37036,43352,53114,56370,75165,26448,50570,20446,35633,19726,34074,16643,30840,8356,18937,1528,4821,5,154,0,0,0,0,20251203
202511,2호선,대림(구로구청),774,15,34041,3292,30236,10607,66303,22427,97084,52416,65671,34173,42427,33615,36165,36145,39168,35851,38941,34532,36649,36428,37200,44878,40381,53314,45260,66677,48329,68846,24789,51730,18852,40448,13798,50021,10052,46874,5095,22328,877,5513,2,251,0,0,0,0,20251203
202511,2호선,대림(구로구청),774,15,34041,3292,30236,10607,66303,22427,97084,52416,65671,34173,42427,33615,36165,36145,39168,35851,38941,34532,36649,36428,37200,44878,40381,53314,45260,66677,48329,68846,24789,51730,18852,40448,13798,50021,10052,46874,5095,22328,877,5513,2,251,0,0,0,0,20251203
202511,2호선,도림천,0,0,382,268,1402,942,3530,4269,3580,6944,2549,2603,2558,1618,2563,1676,2675,1726,2042,2424,2573,2043,2579,1720,3002,2123,3431,2603,3610,3429,1351,2591,884,1841,808,1579,463,1240,201,886,34,283,0,13,0,0,0,0,20251203
202511,2호선,도림천,0,0,382,268,1402,942,3530,4269,3580,6944,2549,2603,2558,1618,2563,1676,2675,1726,2042,2424,2573,2043,2579,1720,3002,2123,3431,2603,3610,3429,1351,2591,884,1841,808,1579,463,1240,201,886,34,283,0,13,0,0,0,0,20251203
202511,2호선,동대문역사문화공원(DDP),216,2,4363,1098,3875,8816,7502,20326,13876,45749,18273,36749,20182,34006,22053,33651,25196,33977,26625,35834,31718,37069,38633,35663,45533,34694,50843,38189,48976,42481,33573,36885,27051,26638,25539,22467,18291,18460,10893,10949,2217,3413,4,159,0,1,0,0,20251203
202511,2호선,동대문역사문화공원(DDP),216,2,4363,1098,3875,8816,7502,20326,13876,45749,18273,36749,20182,34006,22053,33651,25196,33977,26625,35834,31718,37069,38633,35663,45533,34694,50843,38189,48976,42481,33573,36885,27051,26638,25539,22467,18291,18460,10893,10949,2217,3413,4,159,0,1,0,0,20251203
202511,2호선,뚝섬,13,1,3812,2292,8911,14741,19059,40627,26914,134761,19588,103631,17239,52974,20841,43828,26273,43588,31259,45242,37410,41071,48376,41427,60392,41704,93016,44553,136602,50580,74261,29121,51845,17129,43858,14307,26451,12282,10072,7727,1404,2516,4,45,0,1,0,0,20251203
202511,2호선,뚝섬,13,1,3812,2292,8911,14741,19059,40627,26914,134761,19588,103631,17239,52974,20841,43828,26273,43588,31259,45242,37410,41071,48376,41427,60392,41704,93016,44553,136602,50580,74261,29121,51845,17129,43858,14307,26451,12282,10072,7727,1404,2516,4,45,0,1,0,0,20251203
202511,2호선,문래,41,0,4159,3158,14960,11773,43424,39562,50721,131615,30578,64638,23141,27265,22586,25176,26963,28647,28522,30691,29892,30044,31707,31722,39763,37700,69471,47892,110223,67894,41373,43268,31158,24423,32045,21227,29213,18261,13495,10674,2242,3639,4,133,0,0,0,0,20251203
202511,2호선,문래,41,0,4159,3158,14960,11773,43424,39562,50721,131615,30578,64638,23141,27265,22586,25176,26963,28647,28522,30691,29892,30044,31707,31722,39763,37700,69471,47892,110223,67894,41373,43268,31158,24423,32045,21227,29213,18261,13495,10674,2242,3639,4,133,0,0,0,0,20251203
202511,2호선,방배,10,2,2558,3585,8965,12794,21464,28310,30761,75884,26621,61894,20622,34381,22261,28456,24928,27878,27639,26366,32701,26728,35400,25416,43659,26853,55098,34732,62171,36881,30321,25657,25504,17305,24857,16389,18792,14926,7100,8572,1512,2507,0,11,0,0,0,0,20251203
202511,2호선,방배,10,2,2558,3585,8965,12794,21464,28310,30761,75884,26621,61894,20622,34381,22261,28456,24928,27878,27639,26366,32701,26728,35400,25416,43659,26853,55098,34732,62171,36881,30321,25657,25504,17305,24857,16389,18792,14926,7100,8572,1512,2507,0,11,0,0,0,0,20251203
202511,2호선,봉천,88,4,14926,1455,29649,6753,84146,12444,123148,27675,79160,21897,44911,20531,37478,23208,40781,24828,38731,28698,33831,30844,31197,39799,33227,48302,34958,62923,33589,92395,20321,74962,16940,47665,14644,45144,11107,41313,4934,23764,920,7487,1,349,0,0,0,0,20251203
202511,2호선,봉천,88,4,14926,1455,29649,6753,84146,12444,123148,27675,79160,21897,44911,20531,37478,23208,40781,24828,38731,28698,33831,30844,31197,39799,33227,48302,34958,62923,33589,92395,20321,74962,16940,47665,14644,45144,11107,41313,4934,23764,920,7487,1,349,0,0,0,0,20251203
202511,2호선,사당,102,2,13775,3921,30624,37321,79691,49792,105621,73020,80058,57228,55006,48092,52079,62048,57690,61668,61423,57426,68468,59039,69552,71425,73248,97393,86625,141688,103299,185062,76620,125164,74802,78324,81499,72800,72467,65730,39043,38910,6185,11142,9,613,0,0,0,0,20251203
202511,2호선,사당,102,2,13775,3921,30624,37321,79691,49792,105621,73020,80058,57228,55006,48092,52079,62048,57690,61668,61423,57426,68468,59039,69552,71425,73248,97393,86625,141688,103299,185062,76620,125164,74802,78324,81499,72800,72467,65730,39043,38910,6185,11142,9,613,0,0,0,0,20251203
202511,2호선,삼성(무역센터),126,6,4477,6969,7047,53461,14025,139421,20513,312150,21989,253744,27201,129432,40959,94773,55575,87339,70187,91822,88963,79898,113552,69931,149399,70829,245183,75971,296379,69780,159523,37343,128828,20915,101657,16254,67368,10919,17575,6273,2167,3392,1,924,0,0,0,0,20251203
