행정구역,,,총인구수,세대수,세대당 인구
서울특별시,,,"9,299,701","4,504,087",2.06
서울특별시,종로구,,"136,798","72,274",1.89
서울특별시,종로구,청운효자동,"10,835","4,872",2.22
서울특별시,종로구,사직동,"8,908","4,575",1.95
서울특별시,종로구,삼청동,"2,114","1,065",1.98
서울특별시,종로구,부암동,"8,926","4,110",2.17
서울특별시,종로구,평창동,"17,010","7,094",2.4
서울특별시,종로구,무악동,"7,658","2,952",2.59
서울특별시,종로구,교남동,"9,430","4,307",2.19
서울특별시,종로구,가회동,"3,616","1,823",1.98
서울특별시,종로구,종로1.2.3.4가동,"6,637","4,892",1.36
서울특별시,종로구,종로5.6가동,"5,431","3,718",1.46
서울특별시,종로구,이화동,"7,042","4,430",1.59
서울특별시,종로구,혜화동,"15,572","9,118",1.71
서울특별시,종로구,창신제1동,"4,414","2,646",1.67
서울특별시,종로구,창신제2동,"7,158","3,890",1.84
서울특별시,종로구,창신제3동,"6,111","2,730",2.24
서울특별시,종로구,숭인제1동,"5,698","3,005",1.9
서울특별시,종로구,숭인제2동,"10,238","7,047",1.45
서울특별시,중구,,"117,718","63,815",1.84
서울특별시,중구,소공동,"2,181","1,240",1.76
서울특별시,중구,회현동,"4,072","2,306",1.77
서울특별시,중구,명동,"2,455","1,302",1.89
서울특별시,중구,필동,"4,307","2,790",1.54
서울특별시,중구,장충동,"4,525","2,891",1.57
서울특별시,중구,광희동,"5,723","3,960",1.45
서울특별시,중구,을지로동,"3,029","2,067",1.47
서울특별시,중구,신당동,"7,399","4,740",1.56
서울특별시,중구,다산동,"12,984","6,738",1.93
서울특별시,중구,약수동,"15,729","7,678",2.05
서울특별시,중구,청구동,"10,700","5,049",2.12
서울특별시,중구,신당제5동,"9,930","5,415",1.83
서울특별시,중구,동화동,"9,723","3,951",2.46
서울특별시,중구,황학동,"13,121","7,860",1.67
서울특별시,중구,중림동,"11,840","5,828",2.03
서울특별시,용산구,,"201,746","102,893",1.96
서울특별시,용산구,후암동,"15,652","8,297",1.89
서울특별시,용산구,용산2가동,"8,483","4,985",1.7
서울특별시,용산구,남영동,"6,997","4,999",1.4
서울특별시,용산구,청파동,"18,597","11,340",1.64
서울특별시,용산구,원효로제1동,"17,065","9,382",1.82
서울특별시,용산구,원효로제2동,"13,396","6,276",2.13
서울특별시,용산구,효창동,"10,406","4,694",2.22
서울특별시,용산구,용문동,"11,045","5,287",2.09
서울특별시,용산구,한강로동,"20,864","11,208",1.86
서울특별시,용산구,이촌제1동,"24,872","9,101",2.73
서울특별시,용산구,이촌제2동,"7,735","3,574",2.16
서울특별시,용산구,이태원제1동,"5,865","3,355",1.75
서울특별시,용산구,이태원제2동,"8,365","4,673",1.79
서울특별시,용산구,한남동,"13,716","6,982",1.96
서울특별시,용산구,서빙고동,"12,119","5,015",2.42
서울특별시,용산구,보광동,"6,569","3,725",1.76
서울특별시,성동구,,"274,695","133,305",2.06
서울특별시,성동구,왕십리제2동,"15,713","7,310",2.15
서울특별시,성동구,왕십리도선동,"25,538","11,966",2.13
서울특별시,성동구,마장동,"21,407","11,014",1.94
서울특별시,성동구,사근동,"11,880","8,222",1.44
서울특별시,성동구,행당제1동,"15,550","7,299",2.13
서울특별시,성동구,행당제2동,"22,329","9,117",2.45
서울특별시,성동구,응봉동,"14,409","5,850",2.46
서울특별시,성동구,금호1가동,"14,281","6,362",2.24
서울특별시,성동구,금호2.3가동,"20,527","9,356",2.19
서울특별시,성동구,금호4가동,"13,855","6,316",2.19
서울특별시,성동구,옥수동,"25,146","10,692",2.35
서울특별시,성동구,성수1가제1동,"14,886","7,286",2.04
서울특별시,성동구,성수1가제2동,"13,912","6,892",2.02
서울특별시,성동구,성수2가제1동,"13,664","7,278",1.88
서울특별시,성동구,성수2가제3동,"9,466","4,977",1.9
서울특별시,성동구,송정동,"9,097","5,124",1.78
서울특별시,성동구,용답동,"13,035","8,244",1.58
서울특별시,광진구,,"330,933","171,161",1.93
서울특별시,광진구,화양동,"22,724","17,976",1.26
서울특별시,광진구,군자동,"18,417","11,149",1.65
서울특별시,광진구,중곡제1동,"14,856","8,616",1.72
서울특별시,광진구,중곡제2동,"19,753","10,495",1.88
서울특별시,광진구,중곡제3동,"15,155","8,418",1.8
서울특별시,광진구,중곡제4동,"26,776","13,054",2.05
서울특별시,광진구,능동,"10,788","6,445",1.67
서울특별시,광진구,광장동,"32,947","11,675",2.82
서울특별시,광진구,자양제1동,"21,493","12,094",1.78
서울특별시,광진구,자양제2동,"26,398","12,207",2.16
서울특별시,광진구,자양제3동,"26,640","10,927",2.44
서울특별시,광진구,자양제4동,"19,842","11,327",1.75
서울특별시,광진구,구의제1동,"22,821","13,251",1.72
서울특별시,광진구,구의제2동,"24,806","11,467",2.16
서울특별시,광진구,구의제3동,"27,517","12,060",2.28
서울특별시,동대문구,,"348,620","177,750",1.96
서울특별시,동대문구,신설동,"16,353","9,523",1.72
서울특별시,동대문구,용두동,"22,602","12,757",1.77
서울특별시,동대문구,제기동,"22,202","12,824",1.73
서울특별시,동대문구,전농제1동,"32,172","16,239",1.98
서울특별시,동대문구,전농제2동,"17,311","7,353",2.35
서울특별시,동대문구,답십리제1동,"27,203","12,838",2.12
서울특별시,동대문구,답십리제2동,"27,294","12,651",2.16
서울특별시,동대문구,장안제1동,"37,031","18,532",2
서울특별시,동대문구,장안제2동,"32,776","14,831",2.21
서울특별시,동대문구,청량리동,"17,925","9,808",1.83
서울특별시,동대문구,회기동,"10,080","6,535",1.54
서울특별시,동대문구,휘경제1동,"16,653","8,946",1.86
서울특별시,동대문구,휘경제2동,"23,505","12,514",1.88
서울특별시,동대문구,이문제1동,"27,553","14,271",1.93
서울특별시,동대문구,이문제2동,"17,960","8,128",2.21
서울특별시,중랑구,,"376,920","189,612",1.99
서울특별시,중랑구,면목제2동,"22,988","12,052",1.91
서울특별시,중랑구,면목제4동,"17,493","8,846",1.98
서울특별시,중랑구,면목제5동,"14,020","6,289",2.23
서울특별시,중랑구,면목본동,"31,644","17,670",1.79
서울특별시,중랑구,면목제7동,"20,524","10,472",1.96
서울특별시,중랑구,면목제3.8동,"23,442","12,713",1.84
서울특별시,중랑구,상봉제1동,"22,822","10,304",2.21
서울특별시,중랑구,상봉제2동,"21,352","13,647",1.56
서울특별시,중랑구,중화제1동,"17,830","8,714",2.05
서울특별시,중랑구,중화제2동,"25,568","14,359",1.78
서울특별시,중랑구,묵제1동,"32,920","14,835",2.22
서울특별시,중랑구,묵제2동,"17,601","9,167",1.92
서울특별시,중랑구,망우본동,"37,977","18,830",2.02
서울특별시,중랑구,망우제3동,"15,156","8,206",1.85
서울특별시,중랑구,신내1동,"36,604","14,685",2.49
서울특별시,중랑구,신내2동,"18,979","8,823",2.15
서울특별시,성북구,,"422,146","198,616",2.13
서울특별시,성북구,성북동,"15,458","7,982",1.94
서울특별시,성북구,삼선동,"21,669","11,417",1.9
서울특별시,성북구,동선동,"14,721","9,718",1.51
서울특별시,성북구,돈암제1동,"13,728","5,968",2.3
서울특별시,성북구,돈암제2동,"22,900","8,488",2.7
서울특별시,성북구,안암동,"15,398","10,296",1.5
서울특별시,성북구,보문동,"15,764","8,072",1.95
서울특별시,성북구,정릉제1동,"17,518","7,317",2.39
서울특별시,성북구,정릉제2동,"21,585","9,554",2.26
서울특별시,성북구,정릉제3동,"13,714","7,797",1.76
서울특별시,성북구,정릉제4동,"23,520","10,732",2.19
서울특별시,성북구,길음제1동,"35,458","12,809",2.77
서울특별시,성북구,길음제2동,"21,331","8,635",2.47
서울특별시,성북구,종암동,"36,744","17,094",2.15
서울특별시,성북구,월곡제1동,"24,588","10,562",2.33
서울특별시,성북구,월곡제2동,"18,335","9,546",1.92
서울특별시,성북구,장위제1동,"22,713","10,591",2.14
서울특별시,성북구,장위제2동,"15,625","7,795",2
서울특별시,성북구,장위제3동,"18,650","7,657",2.44
서울특별시,성북구,석관동,"32,727","16,586",1.97
서울특별시,강북구,,"278,750","142,306",1.96
서울특별시,강북구,삼양동,"24,456","11,758",2.08
서울특별시,강북구,미아동,"20,161","11,750",1.72
서울특별시,강북구,송중동,"27,368","13,574",2.02
서울특별시,강북구,송천동,"22,153","11,885",1.86
서울특별시,강북구,삼각산동,"29,922","11,480",2.61
서울특별시,강북구,번1동,"16,009","9,640",1.66
서울특별시,강북구,번2동,"14,290","7,395",1.93
서울특별시,강북구,번3동,"15,525","7,539",2.06
서울특별시,강북구,수유1동,"19,262","10,400",1.85
서울특별시,강북구,수유2동,"19,914","9,688",2.06
서울특별시,강북구,수유3동,"22,371","13,589",1.65
서울특별시,강북구,우이동,"19,300","9,548",2.02
서울특별시,강북구,인수동,"28,019","14,060",1.99
서울특별시,도봉구,,"299,545","138,992",2.16
서울특별시,도봉구,창제1동,"23,297","10,854",2.15
서울특별시,도봉구,창제2동,"27,503","12,688",2.17
서울특별시,도봉구,창제3동,"12,714","6,346",2
서울특별시,도봉구,창제4동,"25,897","11,306",2.29
서울특별시,도봉구,창제5동,"23,279","10,300",2.26
서울특별시,도봉구,도봉제1동,"19,431","10,217",1.9
서울특별시,도봉구,도봉제2동,"25,507","11,794",2.16
서울특별시,도봉구,쌍문제1동,"20,448","9,661",2.12
서울특별시,도봉구,쌍문제2동,"17,319","8,406",2.06
서울특별시,도봉구,쌍문제3동,"15,915","8,187",1.94
서울특별시,도봉구,쌍문제4동,"17,631","7,090",2.49
서울특별시,도봉구,방학제1동,"27,626","13,175",2.1
서울특별시,도봉구,방학제2동,"17,610","9,061",1.94
서울특별시,도봉구,방학제3동,"25,368","9,907",2.56
서울특별시,노원구,,"482,461","216,099",2.23
서울특별시,노원구,월계1동,"20,058","10,029",2
서울특별시,노원구,월계2동,"24,759","11,589",2.14
서울특별시,노원구,월계3동,"27,780","12,791",2.17
서울특별시,노원구,공릉1동,"35,125","18,712",1.88
서울특별시,노원구,공릉2동,"40,594","17,796",2.28
서울특별시,노원구,하계1동,"25,132","11,965",2.1
서울특별시,노원구,하계2동,"19,547","7,566",2.58
서울특별시,노원구,중계본동,"22,232","7,864",2.83
서울특별시,노원구,중계1동,"25,905","8,907",2.91
서울특별시,노원구,중계4동,"18,594","8,113",2.29
서울특별시,노원구,중계2.3동,"31,414","14,955",2.1
서울특별시,노원구,상계1동,"35,932","15,523",2.31
서울특별시,노원구,상계2동,"18,547","8,523",2.18
서울특별시,노원구,상계3.4동,"26,558","12,300",2.16
서울특별시,노원구,상계5동,"22,099","10,801",2.05
서울특별시,노원구,상계6.7동,"30,291","13,736",2.21
서울특별시,노원구,상계8동,"21,239","9,077",2.34
서울특별시,노원구,상계9동,"18,945","8,270",2.29
서울특별시,노원구,상계10동,"17,710","7,582",2.34
서울특별시,은평구,,"454,860","214,391",2.12
서울특별시,은평구,녹번동,"35,126","17,467",2.01
서울특별시,은평구,불광제1동,"34,153","16,458",2.08
서울특별시,은평구,불광제2동,"26,198","14,107",1.86
서울특별시,은평구,갈현제1동,"13,992","7,201",1.94
서울특별시,은평구,갈현제2동,"26,737","12,717",2.1
서울특별시,은평구,구산동,"30,618","13,443",2.28
서울특별시,은평구,대조동,"26,990","15,536",1.74
서울특별시,은평구,응암제1동,"31,976","15,106",2.12
서울특별시,은평구,응암제2동,"26,767","10,910",2.45
서울특별시,은평구,응암제3동,"22,870","12,540",1.82
서울특별시,은평구,역촌동,"44,436","21,279",2.09
서울특별시,은평구,신사제1동,"25,694","11,960",2.15
서울특별시,은평구,신사제2동,"19,138","8,953",2.14
서울특별시,은평구,증산동,"15,242","6,617",2.3
서울특별시,은평구,수색동,"21,116","8,584",2.46
서울특별시,은평구,진관동,"53,807","21,513",2.5
서울특별시,서대문구,,"299,942","146,152",2.05
서울특별시,서대문구,천연동,"16,302","7,576",2.15
