행정구역,구,동,총인구수,세대수,세대당 인구
서울특별시,,,"9,304,400","4,520,137",2.06
서울특별시,종로구,,"136,817","72,570",1.89
서울특별시,종로구,청운효자동,"10,799","4,875",2.22
서울특별시,종로구,사직동,"8,893","4,573",1.94
서울특별시,종로구,삼청동,"2,095","1,062",1.97
서울특별시,종로구,부암동,"8,874","4,116",2.16
서울특별시,종로구,평창동,"16,986","7,095",2.39
서울특별시,종로구,무악동,"7,694","2,969",2.59
서울특별시,종로구,교남동,"9,462","4,332",2.18
서울특별시,종로구,가회동,"3,567","1,811",1.97
서울특별시,종로구,종로1.2.3.4가동,"6,659","4,923",1.35
서울특별시,종로구,종로5.6가동,"5,421","3,718",1.46
서울특별시,종로구,이화동,"7,049","4,460",1.58
서울특별시,종로구,혜화동,"15,764","9,318",1.69
서울특별시,종로구,창신제1동,"4,393","2,643",1.66
서울특별시,종로구,창신제2동,"7,134","3,895",1.83
서울특별시,종로구,창신제3동,"6,089","2,725",2.23
서울특별시,종로구,숭인제1동,"5,673","2,997",1.89
서울특별시,종로구,숭인제2동,"10,265","7,058",1.45
서울특별시,중구,,"117,762","63,968",1.84
서울특별시,중구,소공동,"2,198","1,245",1.77
서울특별시,중구,회현동,"4,074","2,308",1.77
서울특별시,중구,명동,"2,483","1,323",1.88
서울특별시,중구,필동,"4,337","2,829",1.53
서울특별시,중구,장충동,"4,571","2,940",1.55
서울특별시,중구,광희동,"5,717","3,967",1.44
서울특별시,중구,을지로동,"3,038","2,079",1.46
서울특별시,중구,신당동,"7,332","4,693",1.56
서울특별시,중구,다산동,"12,979","6,745",1.92
서울특별시,중구,약수동,"15,672","7,675",2.04
서울특별시,중구,청구동,"10,687","5,055",2.11
서울특별시,중구,신당제5동,"9,937","5,413",1.84
서울특별시,중구,동화동,"9,722","3,951",2.46
서울특별시,중구,황학동,"13,166","7,894",1.67
서울특별시,중구,중림동,"11,849","5,851",2.03
서울특별시,용산구,,"200,962","102,627",1.96
서울특별시,용산구,후암동,"15,655","8,315",1.88
서울특별시,용산구,용산2가동,"8,446","4,966",1.7
서울특별시,용산구,남영동,"6,998","4,996",1.4
서울특별시,용산구,청파동,"18,715","11,472",1.63
서울특별시,용산구,원효로제1동,"17,012","9,372",1.82
서울특별시,용산구,원효로제2동,"13,369","6,293",2.12
서울특별시,용산구,효창동,"10,393","4,696",2.21
서울특별시,용산구,용문동,"11,033","5,300",2.08
서울특별시,용산구,한강로동,"20,832","11,192",1.86
서울특별시,용산구,이촌제1동,"24,881","9,117",2.73
서울특별시,용산구,이촌제2동,"7,741","3,576",2.16
서울특별시,용산구,이태원제1동,"5,679","3,253",1.75
서울특별시,용산구,이태원제2동,"8,326","4,669",1.78
서울특별시,용산구,한남동,"13,724","6,984",1.97
서울특별시,용산구,서빙고동,"12,162","5,044",2.41
서울특별시,용산구,보광동,"5,996","3,382",1.77
서울특별시,성동구,,"275,093","133,910",2.05
서울특별시,성동구,왕십리제2동,"15,660","7,316",2.14
서울특별시,성동구,왕십리도선동,"25,511","11,963",2.13
서울특별시,성동구,마장동,"21,425","11,139",1.92
서울특별시,성동구,사근동,"12,120","8,458",1.43
서울특별시,성동구,행당제1동,"15,699","7,365",2.13
서울특별시,성동구,행당제2동,"22,316","9,127",2.45
서울특별시,성동구,응봉동,"14,375","5,858",2.45
서울특별시,성동구,금호1가동,"14,264","6,346",2.25
서울특별시,성동구,금호2.3가동,"20,556","9,377",2.19
서울특별시,성동구,금호4가동,"13,791","6,319",2.18
서울특별시,성동구,옥수동,"25,190","10,718",2.35
서울특별시,성동구,성수1가제1동,"14,849","7,263",2.04
서울특별시,성동구,성수1가제2동,"14,199","7,041",2.02
서울특별시,성동구,성수2가제1동,"13,536","7,218",1.88
서울특별시,성동구,성수2가제3동,"9,424","4,948",1.9
서울특별시,성동구,송정동,"9,034","5,111",1.77
서울특별시,성동구,용답동,"13,144","8,343",1.58
서울특별시,광진구,,"331,123","171,849",1.93
서울특별시,광진구,화양동,"22,945","18,221",1.26
서울특별시,광진구,군자동,"18,522","11,240",1.65
서울특별시,광진구,중곡제1동,"14,830","8,628",1.72
서울특별시,광진구,중곡제2동,"19,753","10,533",1.88
서울특별시,광진구,중곡제3동,"15,179","8,418",1.8
서울특별시,광진구,중곡제4동,"26,838","13,162",2.04
서울특별시,광진구,능동,"10,735","6,412",1.67
서울특별시,광진구,광장동,"32,912","11,704",2.81
서울특별시,광진구,자양제1동,"21,478","12,140",1.77
서울특별시,광진구,자양제2동,"26,301","12,202",2.16
서울특별시,광진구,자양제3동,"26,594","10,941",2.43
서울특별시,광진구,자양제4동,"19,886","11,378",1.75
서울특별시,광진구,구의제1동,"22,879","13,302",1.72
서울특별시,광진구,구의제2동,"24,812","11,515",2.15
서울특별시,광진구,구의제3동,"27,459","12,053",2.28
서울특별시,동대문구,,"351,542","180,029",1.95
서울특별시,동대문구,신설동,"16,373","9,572",1.71
서울특별시,동대문구,용두동,"22,637","12,806",1.77
서울특별시,동대문구,제기동,"22,213","12,878",1.72
서울특별시,동대문구,전농제1동,"32,427","16,428",1.97
서울특별시,동대문구,전농제2동,"17,231","7,357",2.34
서울특별시,동대문구,답십리제1동,"27,241","12,854",2.12
서울특별시,동대문구,답십리제2동,"27,247","12,659",2.15
서울특별시,동대문구,장안제1동,"37,025","18,598",1.99
서울특별시,동대문구,장안제2동,"32,824","14,956",2.19
서울특별시,동대문구,청량리동,"17,747","9,765",1.82
서울특별시,동대문구,회기동,"10,319","6,773",1.52
서울특별시,동대문구,휘경제1동,"16,767","9,030",1.86
서울특별시,동대문구,휘경제2동,"23,612","12,739",1.85
서울특별시,동대문구,이문제1동,"29,956","15,497",1.93
서울특별시,동대문구,이문제2동,"17,923","8,117",2.21
서울특별시,중랑구,,"376,665","190,029",1.98
서울특별시,중랑구,면목제2동,"22,912","12,046",1.9
서울특별시,중랑구,면목제4동,"17,467","8,879",1.97
서울특별시,중랑구,면목제5동,"13,906","6,233",2.23
서울특별시,중랑구,면목본동,"31,579","17,710",1.78
서울특별시,중랑구,면목제7동,"20,501","10,489",1.95
