행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,종로구,종로구,"137,048","5,090","9,193","20,206","19,869","18,245","22,755","21,001","12,563","6,880","1,212",34
서울특별시,종로구,청운효자동,"10,876",509,"1,006","1,266","1,509","1,716","1,846","1,412",936,574,100,2
서울특별시,종로구,사직동,"8,898",378,599,"1,013","1,435","1,372","1,468","1,277",749,495,106,6
서울특별시,종로구,삼청동,"2,114",68,154,217,272,287,318,365,257,144,32,0
서울특별시,종로구,부암동,"8,926",336,745,"1,026","1,172","1,310","1,594","1,367",836,446,90,4
서울특별시,종로구,평창동,"17,071",875,"1,531","1,750","2,001","2,428","2,967","2,854","1,562",872,222,9
서울특별시,종로구,무악동,"7,691",465,860,793,791,"1,220","1,356","1,108",654,387,57,0
서울특별시,종로구,교남동,"9,438",614,745,"1,050","1,373","1,587","1,687","1,169",778,377,58,0
서울특별시,종로구,가회동,"3,620",123,284,329,505,558,635,546,386,218,35,1
서울특별시,종로구,종로1.2.3.4가동,"6,609",139,226,874,"1,050",804,"1,041","1,262",782,379,49,3
서울특별시,종로구,종로5.6가동,"5,428",138,198,"1,158","1,001",591,769,820,456,259,38,0
서울특별시,종로구,이화동,"7,057",141,323,"1,548","1,272",789,976,972,620,357,59,0
서울특별시,종로구,혜화동,"15,652",429,"1,108","4,189","2,063","1,794","2,285","1,735","1,142",773,127,7
서울특별시,종로구,창신제1동,"4,416",95,145,511,606,446,739,"1,029",549,263,33,0
서울특별시,종로구,창신제2동,"7,174",143,278,780,881,735,"1,485","1,561",848,405,58,0
서울특별시,종로구,창신제3동,"6,128",248,379,692,915,739,"1,107","1,106",594,295,52,1
서울특별시,종로구,숭인제1동,"5,713",175,319,684,791,795,"1,029",996,599,276,48,1
서울특별시,종로구,숭인제2동,"10,237",214,293,"2,326","2,232","1,074","1,453","1,422",815,360,48,0
서울특별시,중구,중구,"117,805","4,977","5,804","15,716","21,222","16,098","17,798","17,909","11,441","5,815","1,003",22
서울특별시,중구,소공동,"2,186",145,155,205,410,551,333,205,123,50,9,0
서울특별시,중구,회현동,"4,096",124,205,371,539,457,682,809,576,272,60,1
서울특별시,중구,명동,"2,462",47,109,300,311,307,435,454,302,162,35,0
서울특별시,중구,필동,"4,301",120,195,822,841,540,568,572,387,196,58,2
서울특별시,중구,장충동,"4,529",104,243,"1,294",637,472,567,528,416,233,35,0
서울특별시,중구,광희동,"5,684",112,168,"1,062","1,338",668,704,815,525,257,34,1
서울특별시,중구,을지로동,"3,000",138,87,351,848,533,352,355,222,102,12,0
서울특별시,중구,신당동,"7,416",210,242,"1,177","1,386",943,"1,115","1,185",737,359,60,2
서울특별시,중구,다산동,"13,021",384,649,"1,804","2,158","1,668","2,110","2,118","1,321",697,111,1
서울특별시,중구,약수동,"15,749",734,824,"1,563","2,321","2,047","2,531","2,663","1,864","1,007",192,3
서울특별시,중구,청구동,"10,736",526,590,"1,160","1,942","1,311","1,668","1,714","1,121",614,89,1
서울특별시,중구,신당제5동,"9,939",391,476,"1,268","1,891","1,362","1,604","1,550",895,434,66,2
서울특별시,중구,동화동,"9,721",532,679,"1,016","1,258","1,327","1,664","1,709",956,489,90,1
서울특별시,중구,황학동,"13,116",560,468,"2,062","3,285","1,892","1,656","1,648","1,023",452,68,2
서울특별시,중구,중림동,"11,849",850,714,"1,261","2,057","2,020","1,809","1,584",973,491,84,6
서울특별시,용산구,용산구,"201,894","9,820","12,621","26,573","37,242","29,059","31,845","28,281","16,211","8,608","1,583",51
서울특별시,용산구,후암동,"15,653",567,"1,048","1,993","2,862","2,202","2,506","2,285","1,374",708,101,7
서울특별시,용산구,용산2가동,"8,498",199,384,"1,186","1,691","1,136","1,191","1,240",908,480,81,2
서울특별시,용산구,남영동,"6,996",138,180,829,"1,324",763,"1,297","1,453",675,293,42,2
서울특별시,용산구,청파동,"18,651",428,874,"3,918","3,545","2,100","2,840","2,550","1,501",784,106,5
서울특별시,용산구,원효로제1동,"17,025","1,001",918,"2,662","4,299","2,596","2,317","1,802",948,404,77,1
서울특별시,용산구,원효로제2동,"13,390",670,915,"1,744","2,415","1,855","2,143","1,917","1,062",559,108,2
서울특별시,용산구,효창동,"10,390",618,667,"1,368","2,100","1,576","1,657","1,254",681,393,75,1
서울특별시,용산구,용문동,"11,050",537,591,"1,430","2,023","1,442","1,789","1,585","1,059",528,60,6
서울특별시,용산구,한강로동,"20,889","1,196",926,"2,889","4,932","2,880","3,083","2,785","1,387",683,125,3
서울특별시,용산구,이촌제1동,"24,919","2,039","2,580","2,453","2,966","4,114","4,373","3,190","1,744","1,165",288,7
서울특별시,용산구,이촌제2동,"7,737",399,428,731,"1,335","1,136","1,171","1,265",794,403,73,2
