행정구역,구로구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,,,"9,281,625","450,726","713,981","1,224,817","1,470,576","1,353,165","1,458,904","1,314,689","854,991","379,317","58,956","1,503"
서울특별시,종로구,,"135,935","4,896","9,042","19,717","19,910","17,970","22,333","20,914","12,868","6,961","1,280",44
서울특별시,종로구,청운효자동,"10,592",447,966,"1,169","1,501","1,651","1,819","1,403",948,581,104,3
서울특별시,종로구,사직동,"8,828",368,590,991,"1,397","1,363","1,446","1,287",765,501,114,6
서울특별시,종로구,삼청동,"2,029",62,137,197,266,289,301,345,255,142,35,0
서울특별시,종로구,부암동,"8,862",311,736,"1,029","1,157","1,308","1,550","1,375",836,455,100,5
서울특별시,종로구,평창동,"16,921",820,"1,507","1,703","1,962","2,362","2,947","2,859","1,616",899,236,10
서울특별시,종로구,무악동,"7,696",483,852,755,795,"1,211","1,373","1,102",673,387,65,0
서울특별시,종로구,교남동,"9,476",615,724,"1,015","1,428","1,586","1,681","1,187",797,385,58,0
서울특별시,종로구,가회동,"3,500",124,263,320,482,526,619,534,375,221,34,2
서울특별시,종로구,종로1.2.3.4가동,"6,561",140,215,864,"1,030",828,"1,013","1,218",806,389,53,5
서울특별시,종로구,종로5.6가동,"5,400",132,201,"1,186","1,003",577,753,782,473,258,35,0
서울특별시,종로구,이화동,"7,044",132,341,"1,549","1,252",794,962,958,643,351,59,3
서울특별시,종로구,혜화동,"15,721",422,"1,173","4,184","2,109","1,761","2,261","1,744","1,149",773,139,6
서울특별시,종로구,창신제1동,"4,328",94,131,496,612,442,710,996,550,263,34,0
서울특별시,종로구,창신제2동,"7,048",130,267,721,859,716,"1,417","1,579",890,400,68,1
서울특별시,종로구,창신제3동,"6,031",242,348,649,983,709,"1,030","1,105",609,303,52,1
서울특별시,종로구,숭인제1동,"5,654",161,298,645,823,743,991,"1,029",629,285,48,2
서울특별시,종로구,숭인제2동,"10,244",213,293,"2,244","2,251","1,104","1,460","1,411",854,368,46,0
서울특별시,중구,,"117,305","4,793","5,850","15,147","21,267","16,111","17,667","17,702","11,812","5,872","1,056",28
서울특별시,중구,소공동,"2,205",140,152,212,407,550,360,199,124,51,10,0
서울특별시,중구,회현동,"4,032",118,199,375,525,460,657,789,579,271,56,3
서울특별시,중구,명동,"2,479",48,99,307,301,309,449,442,318,166,40,0
서울특별시,중구,필동,"4,331",113,210,806,850,559,560,564,410,198,60,1
서울특별시,중구,장충동,"4,553",93,286,"1,282",631,476,560,527,432,224,42,0
서울특별시,중구,광희동,"5,709",105,178,"1,026","1,343",677,710,821,549,261,39,0
서울특별시,중구,을지로동,"3,039",137,89,354,832,572,368,353,218,99,17,0
서울특별시,중구,신당동,"7,236",202,220,"1,146","1,353",917,"1,084","1,161",734,361,56,2
서울특별시,중구,다산동,"12,813",339,659,"1,674","2,143","1,642","2,061","2,104","1,369",705,114,3
서울특별시,중구,약수동,"15,562",704,795,"1,480","2,347","1,997","2,482","2,608","1,917","1,016",211,5
서울특별시,중구,청구동,"10,605",506,566,"1,078","1,966","1,293","1,634","1,693","1,147",620,101,1
서울특별시,중구,신당제5동,"9,957",397,494,"1,247","1,867","1,406","1,552","1,527",952,446,68,1
서울특별시,중구,동화동,"9,694",528,682,961,"1,290","1,302","1,648","1,700",992,500,90,1
서울특별시,중구,황학동,"13,134",530,484,"1,983","3,331","1,913","1,679","1,630","1,054",464,63,3
서울특별시,중구,중림동,"11,956",833,737,"1,216","2,081","2,038","1,863","1,584","1,017",490,89,8
서울특별시,용산구,,"199,459","9,727","12,552","25,371","36,951","28,923","31,323","27,816","16,510","8,532","1,694",60
서울특별시,용산구,후암동,"15,584",535,"1,049","1,914","2,887","2,168","2,499","2,267","1,439",694,128,4
서울특별시,용산구,용산2가동,"8,352",196,366,"1,104","1,690","1,131","1,154","1,227",915,468,96,5
서울특별시,용산구,남영동,"7,004",155,198,775,"1,344",771,"1,282","1,433",710,297,35,4
서울특별시,용산구,청파동,"18,790",439,886,"3,853","3,710","2,084","2,820","2,544","1,536",800,113,5
서울특별시,용산구,원효로제1동,"17,082",995,915,"2,597","4,340","2,663","2,280","1,814",987,412,78,1
서울특별시,용산구,원효로제2동,"13,318",672,878,"1,680","2,487","1,845","2,120","1,900","1,068",557,108,3
서울특별시,용산구,효창동,"10,383",570,658,"1,352","2,054","1,563","1,667","1,321",718,397,81,2
서울특별시,용산구,용문동,"11,023",528,575,"1,361","2,112","1,447","1,729","1,544","1,117",531,72,7
서울특별시,용산구,한강로동,"20,844","1,194",926,"2,770","4,861","2,901","3,122","2,787","1,444",710,127,2
서울특별시,용산구,이촌제1동,"24,925","2,009","2,583","2,409","2,895","4,074","4,388","3,235","1,813","1,186",322,11
서울특별시,용산구,이촌제2동,"7,682",423,422,694,"1,308","1,139","1,171","1,235",810,393,86,1
서울특별시,용산구,이태원제1동,"5,361",190,205,574,"1,110",707,771,892,551,296,64,1
서울특별시,용산구,이태원제2동,"8,333",275,422,"1,055","1,656","1,264","1,217","1,142",761,457,81,3
서울특별시,용산구,한남동,"13,658",816,905,"1,323","2,355","2,400","2,198","1,784","1,195",580,100,2
서울특별시,용산구,서빙고동,"12,130",600,"1,309","1,388","1,398","2,074","2,027","1,743",910,506,166,9
서울특별시,용산구,보광동,"4,990",130,255,522,744,692,878,948,536,248,37,0
서울특별시,성동구,,"274,199","15,595","17,045","37,068","48,267","39,458","42,580","38,431","22,929","11,101","1,693",32
서울특별시,성동구,왕십리제2동,"15,603",900,984,"1,901","2,950","2,233","2,431","2,199","1,332",582,89,2
서울특별시,성동구,왕십리도선동,"25,536","1,743","1,638","3,484","4,438","3,799","4,023","3,367","1,906",974,163,1
서울특별시,성동구,마장동,"21,406",826,"1,305","4,008","3,506","2,420","3,173","3,096","1,972",953,145,2
서울특별시,성동구,사근동,"12,097",240,775,"5,016","1,633",998,"1,248","1,017",688,442,40,0
서울특별시,성동구,행당제1동,"15,720",976,"1,077","2,193","2,857","2,370","2,465","1,960","1,136",580,102,4
서울특별시,성동구,행당제2동,"22,193","1,488","1,742","2,271","3,453","3,320","3,832","3,033","1,907",992,152,3
서울특별시,성동구,응봉동,"14,349",902,"1,333","1,469","2,092","2,356","2,509","1,817","1,145",636,90,0
서울특별시,성동구,금호1가동,"14,233",962,978,"1,300","2,265","2,401","2,174","2,090","1,371",577,113,2
서울특별시,성동구,금호2.3가동,"20,552","1,371","1,157","2,015","3,701","3,287","3,220","2,902","1,854",916,124,5
서울특별시,성동구,금호4가동,"13,682","1,049",894,"1,084","2,360","2,353","2,112","1,886","1,235",602,103,4
서울특별시,성동구,옥수동,"25,115","2,190","1,651","2,065","4,533","4,364","3,707","3,383","2,052",984,182,4
서울특별시,성동구,성수1가제1동,"14,723",749,751,"1,811","2,849","1,915","2,478","2,492","1,154",454,69,1
서울특별시,성동구,성수1가제2동,"14,274",804,758,"1,803","3,021","2,144","2,221","1,906","1,084",472,61,0
