지역,지역,인구수,수요,입주,매매,전세,전세가율
서울,성동구(159),"274,550","1,443",0,"6,447","2,511",39%
서울,광진구(121),"331,475","1,723",215,"6,113","2,552",41%
서울,강동구(201),"499,108","2,337",705,"5,148","2,463",44%
서울,송파구(235),"644,015","3,355","1,909","7,523","2,675",36%
서울,동작구(146),"372,585","1,954",188,"4,898","2,252",45%
서울,마포구(238),"358,111","1,863",192,"5,789","2,484",43%
서울,중구(97),"118,108",620,0,"4,701","2,304",48%
서울,영등포구(327),"371,650","1,911",707,"4,908","2,097",43%
서울,강남구(348),"556,180","2,699",308,"10,493","3,343",31%
서울,서초구(272),"413,498","2,081","5,155","10,523","3,661",33%
서울,용산구(114),"202,145","1,131",0,"7,870","2,717",35%
서울,양천구(175),"425,801","2,255",0,"5,827","2,183",37%
서울,동대문구(207),"344,207","1,712",761,"3,480","1,851",53%
서울,서대문구(140),"300,609","1,551",315,"3,749","2,014",54%
서울,관악구(140),"477,846","2,470",0,"3,030","1,723",57%
서울,강서구(341),"550,002","2,902","1,120","3,593","1,917",54%
서울,성북구(149),"423,313","2,191",199,"3,055","1,821",59%
서울,종로구(92),"137,246",730,0,"4,234","2,287",54%
서울,구로구(282),"384,525","2,007",356,"2,721","1,580",58%
서울,은평구(181),"455,929","2,396","2,763","2,978","1,768",59%
서울,노원구(235),"484,759","2,579",0,"2,685","1,455",54%
서울,중랑구(149),"376,998","1,968",0,"2,473","1,578",63%
서울,금천구(109),"223,497","1,170",0,"2,281","1,436",63%
서울,강북구(75),"279,210","1,512",260,"2,341","1,505",63%
서울,도봉구(145),"300,311","1,595",299,"2,187","1,288",59
부산,동래구(167),"273,654","1,373",400,"1,691","1,090",62%
부산,해운대구(281),"372,763","1,985",230,"1,749",969,54%
부산,연제구(142),"211,590","1,044",544,"1,629","1,045",62%
부산,수영구(122),"169,299",886,"1,233","2,184",991,44%
부산,부산진구(309),"365,388","1,788","1,292","1,158",829,69%
부산,남구(151),"250,940","1,318","6,335","1,449",996,65%
부산,금정구(104),"206,908","1,140",415,"1,248",905,70%
부산,북구(134),"263,189","1,423",0,"1,002",769,74%
부산,동구(56),"83,894",444,340,"1,244",908,69%
부산,기장군(111),"174,759",897,0,982,747,75%
부산,서구(54),"102,096",535,0,"1,367","1,017",69%
부산,사하구(190),"286,773","1,543",165,764,606,76%
부산,사상구(125),"194,541","1,044",0,798,631,76%
부산,강서구(67),"149,613",724,"3,159","1,155",786,68%
부산,영도구(71),"101,774",555,0,774,593,73%
부산,중구(31),"36,578",206,0,496,552,88%
대구,중구(79),"100,946",389,0,"1,507",895,58%
대구,수성구(282),"409,279","2,101","1,055","1,494",883,58%
대구,북구(235),"410,474","2,201","1,672",834,639,75%
대구,달성군(144),"254,844","1,329",0,763,573,74%
대구,동구(212),"339,436","1,725","1,139",979,696,70%
대구,달서구(263),"517,682","2,756","1,429",916,652,70%
대구,서구(44),"163,689",830,0,"1,049",677,61%
대구,남구(59),"135,713",724,"5,024","1,017",717,67%
인천,미추홀구(216),"417,934","2,063","1,626","1,165",860,72%
인천,부평구(262),"490,898","2,477",0,"1,421",975,68%
