region,area,people,수요,입주,매매,전세,전세가율
서울,동작구(148),372236,1954,720,5275,2281,43%
서울,성동구(158),275093,1442,0,6804,2568,37%
서울,동대문구(209),351542,1711,886,3775,1949,51%
서울,중구(97),117762,621,0,5024,2338,46%
서울,광진구(122),331123,1722,215,6408,2640,40%
서울,영등포구(329),371177,1911,707,5200,2132,41%
서울,강동구(201),499795,2337,705,5394,2441,42%
서울,성북구(150),422778,2191,199,3264,1867,57%
서울,마포구(238),356966,1863,192,6098,2509,41%
서울,강서구(342),548985,2901,1120,3800,1918,51%
서울,관악구(142),478468,2470,195,3224,1779,56%
서울,용산구(115),200962,1133,0,8225,2727,34%
서울,서대문구(141),300594,1550,315,3974,2057,52%
서울,송파구(236),650071,3351,2088,7661,2599,34%
서울,종로구(92),136817,732,0,4522,2341,51%
서울,양천구(175),423666,2256,70,5996,2147,36%
서울,노원구(234),482487,2580,0,2834,1491,53%
서울,구로구(282),382836,2009,356,2864,1610,56%
서울,은평구(181),454109,2396,2791,3166,1855,58%
서울,서초구(274),415540,2081,5406,10540,3717,34%
서울,강북구(75),278786,1510,260,2453,1550,63%
서울,강남구(350),554165,2698,308,10392,3262,30%
서울,중랑구(149),376665,1968,0,2547,1598,62%
서울,도봉구(145),299065,1598,299,2232,1307,58%
서울,금천구(109),222712,1170,0,2314,1455,63%
서울,동래구(168),272155,1372,400,1728,1128,63%
부산,해운대구(283),371470,1985,230,1768,992,55%
부산,수영구(122),168585,886,1233,2225,1014,45%
부산,중구(32),36391,206,0,514,539,87%
부산,동구(56),83530,444,340,1266,902,67%
부산,연제구(142),211426,1043,604,1628,1055,63%
부산,부산진구(312),365294,1788,2031,1166,848,70%
부산,금정구(105),206033,1142,510,1250,929,71%
부산,남구(152),253768,1319,6335,1464,993,64%
부산,사하구(190),283945,1545,165,780,612,76%
부산,서구(55),101452,535,0,1377,1033,69%
부산,북구(135),261557,1424,0,1001,765,74%
부산,영도구(71),100733,556,0,775,608,75%
