region,area,people,수요,입주,매매,전세,전세가율,,,region,area,people,수요,입주,매매,전세,전세가율
서울,동대문구(209),"351,656","1,711",886,"3,860","2,067",52%,,,,,,,,,,
서울,성북구(150),"422,452","2,191",199,"3,333","1,937",58%,,,,,,,,,,
서울,동작구(150),"372,250","1,954",720,"5,335","2,338",44%,,,,,,,,,,
서울,영등포구(329),"371,471","1,911",707,"5,231","2,188",42%,,,,,,,,,,
서울,관악구(142),"478,144","2,470",250,"3,296","1,804",55%,,,,,,,,,,
서울,서대문구(142),"300,395","1,550",315,"4,043","2,118",52%,,,,,,,,,,
서울,강서구(342),"548,716","2,901","1,193","3,878","1,955",51%,,,,,,,,,,
서울,중구(99),"117,760",621,0,"4,996","2,385",47%,,,,,,,,,,
서울,성동구(157),"274,917","1,442",0,"6,718","2,642",39%,,,,,,,,,,
서울,구로구(282),"382,718","2,009",356,"2,936","1,651",56%,,,,,,,,,,
서울,종로구(91),"136,716",732,20,"4,480","2,335",52%,,,,,,,,,,
서울,강북구(76),"278,520","1,510",260,"2,517","1,643",64%,,,,,,,,,,
서울,노원구(234),"482,097","2,580",0,"2,864","1,540",54%,,,,,,,,,,
서울,강동구(201),"499,460","2,337",705,"5,543","2,492",44%,,,,,,,,,,
서울,마포구(239),"356,894","1,863",192,"6,040","2,561",42%,,,,,,,,,,
서울,광진구(123),"331,029","1,722",389,"6,257","2,678",42%,,,,,,,,,,
서울,양천구(176),"422,900","2,256",99,"5,928","2,196",37%,,,,,,,,,,
서울,은평구(180),"453,550","2,396","2,791","3,194","1,904",59%,,,,,,,,,,
서울,용산구(116),"200,187","1,133",0,"8,045","2,790",35%,,,,,,,,,,
서울,송파구(236),"650,447","3,351","2,088","7,528","2,709",36%,,,,,,,,,,
서울,중랑구(149),"376,570","1,968",0,"2,592","1,649",63%,,,,,,,,,,
서울,도봉구(145),"298,839","1,598",299,"2,261","1,360",60%,,,,,,,,,,
서울,금천구(109),"222,726","1,170",0,"2,336","1,515",65%,,,,,,,,,,
서울,서초구(276),"414,999","2,081","5,584","10,294","3,762",36%,,,,,,,,,,
서울,강남구(351),"553,260","2,698",308,"9,953","3,344",32%,,,,,,,,,,
부산,동래구(169),"271,815","1,372",400,"1,741","1,127",63%,,,,,,,,,,
부산,동구(56),"83,475",444,340,"1,270",901,67%,,,,,,,,,,
부산,해운대구(284),"371,143","1,985",230,"1,768",999,55%,,,,,,,,,,
부산,연제구(142),"211,491","1,043",604,"1,653","1,056",62%,,,,,,,,,,
부산,수영구(122),"168,577",886,"1,233","2,218","1,023",45%,,,,,,,,,,
부산,남구(152),"253,913","1,319","6,335","1,467","1,005",65%,,,,,,,,,,
