"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"경남","진주시","대곡면","월암리","선인국제중학교","사립","97.8","98.0","96.4","97.4","4"
"강원","인제군","상남면","","상남중학교","공립","97.0","94.0","87.0","92.7",""
"경기","가평군","설악면","송산리","청심국제중학교","사립","96.7","97.3","86.7","93.6","87"
"경북","영천시","화산면","유성리","화산중학교","공립","95.0","96.0","93.0","94.7","0"
"전북","진안군","주천면","주양리","주천중학교","공립","92.1","79.3","86.6","86.0",""
"경북","의성군","금성면","탑리리","탑리여자중학교","사립","91.8","78.8","73.5","81.4","0"
"서울","광진구","","","대원국제중학교","사립","91.8","85.9","92.1","89.9","48"
"전남","여수시","화양면","장수리","화양중학교화양남분교장","공립","91.6","90.4","89.0","90.3","0"
"경남","산청군","신등면","양전리","신등중학교","공립","91.5","65.5","73.0","76.7","0"
"경북","포항시","북구","기북면","기계중학교기북분교장","공립","91.5","85.0","96.0","90.8","0"
"전남","영암군","미암면","남산리","영암미암중학교","공립","91.3","87.3","88.0","88.9",""
"경북","경주시","산내면","의곡리","산내중학교","공립","91.0","86.0","82.0","86.3","0"
"전남","보성군","회천면","율포리","보성회천중학교","공립","91.0","80.0","83.7","84.9","0"
"경기","양평군","양서면","국수리","국수중학교","공립","90.9","75.6","77.3","81.3","0"
"전북","김제시","청하면","관상리","청하중학교","공립","90.8","82.0","82.6","85.1",""
"울산","북구","상안동","","상안중학교","공립","90.6","82.4","83.3","85.4","6"
"충북","충주시","수안보면","관동길","수안보중학교","공립","90.5","66.8","72.0","76.4","0"
"경남","진주시","수곡면","대천리","진서중학교","공립","90.4","69.4","79.6","79.8","0"
"서울","강북구","미아동","","영훈국제중학교","사립","90.4","88.6","84.3","87.8","41"
"경기","연천군","신서면","","대광중학교","공립","90.3","78.6","87.7","85.5","1"
"강원","원주시","무실동","","원주삼육중학교","사립","90.0","89.1","83.9","87.7",""
"서울","강남구","","","진선여자중학교","사립","90.0","85.6","81.3","85.6","17"
"경북","봉화군","춘양면","서벽리","춘양중학교서벽분교장","공립","90.0","90.0","98.0","92.7","0"
"제주","제주시","한경면","청수리","저청중학교","공립","89.9","88.2","84.3","87.5","1"
"충북","괴산군","청천면","이평리","송면중학교","공립","89.8","87.1","72.2","83.0","0"
"전남","고흥군","도화면","당오리","고흥도화중학교","공립","89.7","78.7","83.7","84.0","0"
"경기","여주시","능서면","","여주중학교","공립","89.7","81.4","79.6","83.6","0"
"경북","상주시","낙동면","낙동리","낙동중학교","공립","89.5","84.5","77.0","83.7","0"
"강원","강릉시","옥계면","천남리","옥계중학교","공립","89.4","74.6","64.9","76.3",""
"서울","동작구","","","국사봉중학교","공립","89.3","70.6","63.9","74.6","0"
"경기","남양주시","","","다산한강중학교","공립","89.1","82.4","83.5","85.0","4"
"경기","화성시","반송동","","솔빛중학교","공립","88.8","90.3","89.1","89.4","15"
"전북","고창군","해리면","하련리","해리중학교","공립","88.8","79.6","73.5","80.6",""
"강원","춘천시","남면","가정리","가정중학교","공립","88.7","77.6","68.7","78.3",""
"전남","광양시","다압면","도사리","광양다압중학교","공립","88.6","77.8","82.6","83.0","0"
"전남","해남군","현산면","","현산중학교","공립","88.5","87.3","86.8","87.5","0"
"충북","괴산군","청천면","선평리","청천중학교","공립","88.5","84.2","74.9","82.5","0"
"충남","부여군","양화면","족교리","양화중학교","공립","88.5","73.5","75.5","79.2","0"
"강원","정선군","여량면","여량리","여량중학교","공립","88.3","55.0","75.0","72.8",""
"전북","정읍시","고부면","관청리","고부중학교","공립","88.2","79.4","82.8","83.5",""
"경기","양평군","지평면","지평리","지평중학교","공립","88.1","79.2","74.1","80.5","0"
"전남","영암군","시종면","","시종중학교","사립","88.0","81.6","83.0","84.2","0"
"전남","강진군","작천면","평리","강진작천중학교","공립","88.0","87.5","80.7","85.4","0"
